         2675649 function calls (2624534 primitive calls) in 19.785 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
2649/2643    0.017    0.000    2.899    0.001 /home/sbose/.conda/envs/FL/lib/python3.10/importlib/__init__.py:108(import_module)
     5028    0.017    0.000    0.024    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/inspect.py:820(<genexpr>)
2651/2643    0.017    0.000    2.876    0.001 <frozen importlib._bootstrap>:1038(_gcd_import)
     1921    0.017    0.000    0.046    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/inspect.py:773(getfile)
     1470    0.017    0.000    0.059    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/omegaconf/_utils.py:508(_is_missing_value)
     8530    0.017    0.000    0.017    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/copy.py:182(_deepcopy_atomic)
     4600    0.016    0.000    0.023    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/optim/adam.py:303(<genexpr>)
     2800    0.016    0.000    0.026    0.000 /home/sbose/time-series-forecasting-federation/models/LFDataset.py:55(append)
      730    0.015    0.000    0.503    0.001 /home/sbose/.conda/envs/FL/lib/python3.10/zipfile.py:986(_read1)
     9505    0.015    0.000    0.015    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/__init__.py:631(is_storage)
      200    0.015    0.000    0.032    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/optim/optimizer.py:793(zero_grad)
   180/20    0.015    0.000    0.778    0.039 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/nn/modules/module.py:776(_apply)
     1000    0.015    0.000    0.081    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/copy.py:66(copy)
      717    0.015    0.000    2.608    0.004 <frozen importlib._bootstrap_external>:950(get_code)
      600    0.015    0.000    0.015    0.000 {built-in method torch._ops.profiler._record_function_enter_new}
     5591    0.015    0.000    0.015    0.000 {method 'match' of 're.Pattern' objects}
      400    0.015    0.000    0.015    0.000 {built-in method torch.cat}
     7087    0.015    0.000    0.015    0.000 {method 'rpartition' of 'str' objects}
     3387    0.015    0.000    0.044    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/typing.py:986(__setattr__)
     3386    0.015    0.000    0.051    0.000 <frozen importlib._bootstrap>:173(__exit__)
     3676    0.015    0.000    0.021    0.000 <frozen importlib._bootstrap>:404(parent)
      800    0.015    0.000    0.244    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/nn/modules/container.py:215(forward)
     2408    0.014    0.000    0.332    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/nn/modules/rnn.py:301(_update_flat_weights)
     1870    0.014    0.000    0.024    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/storage.py:581(__init__)
      872    0.014    0.000    0.025    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/omegaconf/base.py:152(_set_flag)
     2151    0.013    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      849    0.013    0.000    0.034    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/typing.py:146(_type_check)
     6402    0.013    0.000    0.013    0.000 {built-in method torch.is_grad_enabled}
     4600    0.013    0.000    0.013    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/optim/optimizer.py:122(<genexpr>)
  702/389    0.013    0.000    0.141    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/inspect.py:2375(_signature_from_callable)
     1400    0.012    0.000    0.052    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/utils/data/_utils/collate.py:194(collate_tensor_fn)
      440    0.012    0.000    0.042    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/_tensor.py:247(_reduce_ex_internal)
     5792    0.012    0.000    0.012    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
      356    0.012    0.000    0.060    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/inspect.py:2280(_signature_from_function)
     1433    0.012    0.000    0.631    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/inspect.py:838(getabsfile)
     1921    0.012    0.000    0.070    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/package/package_importer.py:694(_patched_getfile)
     2877    0.012    0.000    0.024    0.000 {built-in method builtins.max}
     3010    0.012    0.000    0.018    0.000 <frozen importlib._bootstrap>:897(__exit__)
     1423    0.012    0.000    1.266    0.001 /home/sbose/.conda/envs/FL/lib/python3.10/posixpath.py:392(realpath)
     1934    0.012    0.000    0.036    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/autograd/grad_mode.py:79(__enter__)
     3010    0.012    0.000    0.018    0.000 <frozen importlib._bootstrap>:893(__enter__)
      600    0.012    0.000    0.054    0.000 /home/sbose/time-series-forecasting-federation/models/LFDataset.py:32(method)
     2651    0.011    0.000    0.017    0.000 <frozen importlib._bootstrap>:968(_sanity_check)
     1400    0.011    0.000    0.018    0.000 /home/sbose/time-series-forecasting-federation/models/LFDataset.py:28(__getattr__)
     2723    0.011    0.000    0.587    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
     2638    0.011    0.000    0.372    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/_dynamo/utils.py:557(unwrap_if_wrapper)
        4    0.011    0.003    0.124    0.031 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/utils/_config_module.py:73(get_assignments_with_compile_ignored_comments)
     1400    0.011    0.000    0.011    0.000 {method 'pin_memory' of 'torch._C.TensorBase' objects}
     3080    0.011    0.000    0.016    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/_dynamo/trace_rules.py:3279(<genexpr>)
      742    0.011    0.000    0.751    0.001 <frozen importlib._bootstrap_external>:1399(_get_spec)
      413    0.011    0.000    0.075    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/typing.py:1016(__init__)
      663    0.011    0.000    0.079    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/dataclasses.py:412(_create_fn)
     2616    0.010    0.000    0.015    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/inspect.py:191(isclass)
      830    0.010    0.000    0.027    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/zipfile.py:742(read)
     2601    0.010    0.000    0.015    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/_VF.py:26(__getattr__)
    742/4    0.010    0.000    9.295    2.324 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
        1    0.010    0.010    0.026    0.026 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/_decomp/__init__.py:192(get_decompositions)
      142    0.010    0.000    0.032    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/sympy/core/facts.py:599(deduce_all_facts)
        1    0.010    0.010    0.010    0.010 {method 'scatter' of 'mpi4py.MPI.Comm' objects}
      880    0.010    0.000    0.010    0.000 {built-in method torch.zeros_like}
     2400    0.010    0.000    0.015    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/nn/modules/rnn.py:243(get_expected_hidden_size)
    718/5    0.010    0.000    9.290    1.858 <frozen importlib._bootstrap>:664(_load_unlocked)
      618    0.010    0.000    0.025    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/omegaconf/_utils.py:746(_get_value)
      400    0.009    0.000    0.009    0.000 {built-in method torch._foreach_add_}
     1064    0.009    0.000    0.021    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/inspect.py:2637(__init__)
     2400    0.009    0.000    0.014    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/nn/modules/rnn.py:804(get_expected_cell_size)
     1600    0.009    0.000    0.049    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/nn/functional.py:1489(relu)
        1    0.009    0.009    0.010    0.010 {built-in method _imp.create_dynamic}
      200    0.009    0.000    0.009    0.000 {built-in method torch._C._group_tensors_by_device_and_dtype}
     4800    0.009    0.000    0.009    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/nn/modules/rnn.py:828(permute_hidden)
      872    0.009    0.000    0.030    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/omegaconf/_utils.py:567(_is_interpolation)
1963/1863    0.009    0.000    0.148    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/typing.py:306(inner)
      860    0.009    0.000    0.517    0.001 /home/sbose/.conda/envs/FL/lib/python3.10/zipfile.py:904(read)
      800    0.009    0.000    0.526    0.001 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/numpy/lib/format.py:951(_read_bytes)
     2868    0.009    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      200    0.009    0.000    0.385    0.002 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/optim/adam.py:450(_multi_tensor_adam)
      221    0.009    0.000    3.408    0.015 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/_dynamo/eval_frame.py:351(__call__)
     4268    0.009    0.000    0.009    0.000 {built-in method torch._C._set_grad_enabled}
      200    0.009    0.000    0.101    0.001 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/optim/adam.py:567(<listcomp>)
     4400    0.009    0.000    0.009    0.000 {built-in method torch.is_complex}
      200    0.009    0.000    0.100    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/optim/adam.py:568(<listcomp>)
     2591    0.009    0.000    0.024    0.000 {method '__reduce_ex__' of 'object' objects}
      440    0.009    0.000    0.009    0.000 {method 'copy_' of 'torch._C.TensorBase' objects}
1516/1424    0.009    0.000    0.016    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/omegaconf/base.py:189(_get_flag)
      702    0.009    0.000    0.019    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/inspect.py:2920(__init__)
      200    0.009    0.000    0.065    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/optim/adam.py:572(<listcomp>)
      731    0.009    0.000    0.009    0.000 {method '__exit__' of '_io._IOBase' objects}
     2700    0.008    0.000    0.012    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/sympy/core/facts.py:633(<genexpr>)
     1934    0.008    0.000    0.012    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/autograd/grad_mode.py:74(__init__)
      200    0.008    0.000    0.008    0.000 {built-in method torch._foreach_mul_}
