         8274285 function calls (8097115 primitive calls) in 66.252 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 1500/150    0.017    0.000    0.079    0.001 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/utils/data/_utils/pin_memory.py:56(pin_memory)
2649/2643    0.017    0.000    3.392    0.001 /home/sbose/.conda/envs/FL/lib/python3.10/importlib/__init__.py:108(import_module)
2651/2643    0.017    0.000    3.369    0.001 <frozen importlib._bootstrap>:1038(_gcd_import)
     4292    0.017    0.000    0.025    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/inspect.py:182(ismodule)
     4282    0.017    0.000    0.025    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/copyreg.py:100(__newobj__)
     4863    0.016    0.000    0.023    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/inspect.py:820(<genexpr>)
     8371    0.016    0.000    0.016    0.000 {method 'values' of 'collections.OrderedDict' objects}
     2115    0.016    0.000    0.016    0.000 {built-in method torch._ops.profiler.}
      717    0.016    0.000    5.246    0.007 <frozen importlib._bootstrap_external>:950(get_code)
        5    0.016    0.003    0.149    0.030 {method 'dump' of '_pickle.Pickler' objects}
      150    0.016    0.000    0.016    0.000 {built-in method torch._foreach_lerp_}
      730    0.015    0.000    0.503    0.001 /home/sbose/.conda/envs/FL/lib/python3.10/zipfile.py:986(_read1)
     1811    0.015    0.000    0.041    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/inspect.py:773(getfile)
     1800    0.015    0.000   21.756    0.012 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/utils/data/_utils/fetch.py:46(fetch)
     3387    0.015    0.000    0.044    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/typing.py:986(__setattr__)
     6873    0.015    0.000    0.015    0.000 {method 'rpartition' of 'str' objects}
      135    0.015    0.000    0.049    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/nn/modules/module.py:1974(_load_from_state_dict)
     3386    0.015    0.000    0.051    0.000 <frozen importlib._bootstrap>:173(__exit__)
     2115    0.014    0.000    0.024    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/autograd/profiler.py:593(__init__)
       37    0.014    0.000    0.014    0.000 {built-in method io.open}
     1800    0.014    0.000   18.225    0.010 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/utils/data/dataset.py:413(__getitems__)
      330    0.014    0.000    0.083    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/_tensor.py:82(__deepcopy__)
     1650    0.014    0.000    0.023    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/numpy/core/_methods.py:67(_count_reduce_items)
     5591    0.014    0.000    0.014    0.000 {method 'match' of 're.Pattern' objects}
     3462    0.014    0.000    0.020    0.000 <frozen importlib._bootstrap>:404(parent)
     6735    0.014    0.000    0.014    0.000 {built-in method torch.is_grad_enabled}
     7150    0.014    0.000    0.014    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/__init__.py:631(is_storage)
     2151    0.013    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      849    0.013    0.000    0.035    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/typing.py:146(_type_check)
     6747    0.013    0.000    0.013    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/copy.py:182(_deepcopy_atomic)
     1800    0.013    0.000    2.614    0.001 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/utils/data/_utils/collate.py:173(<listcomp>)
     2095    0.013    0.000    0.039    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/autograd/grad_mode.py:79(__enter__)
  702/389    0.013    0.000    0.138    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/inspect.py:2375(_signature_from_callable)
     1235    0.013    0.000    0.047    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/omegaconf/_utils.py:508(_is_missing_value)
     3450    0.013    0.000    0.018    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/optim/adam.py:303(<genexpr>)
     5792    0.012    0.000    0.012    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
     1800    0.012    0.000    0.290    0.000 /home/sbose/time-series-forecasting-federation/files_for_appfl/tsf_loss.py:12(forward)
2495/2059    0.012    0.000    0.018    0.000 {built-in method _abc._abc_subclasscheck}
     3010    0.012    0.000    0.018    0.000 <frozen importlib._bootstrap>:897(__exit__)
     3010    0.012    0.000    0.018    0.000 <frozen importlib._bootstrap>:893(__enter__)
     2877    0.012    0.000    0.025    0.000 {built-in method builtins.max}
      356    0.012    0.000    0.060    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/inspect.py:2280(_signature_from_function)
     1433    0.012    0.000    0.740    0.001 /home/sbose/.conda/envs/FL/lib/python3.10/inspect.py:838(getabsfile)
     1423    0.012    0.000    1.262    0.001 /home/sbose/.conda/envs/FL/lib/python3.10/posixpath.py:392(realpath)
      726    0.012    0.000    0.022    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/omegaconf/base.py:152(_set_flag)
2495/2059    0.012    0.000    0.028    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/abc.py:121(__subclasscheck__)
     1800    0.012    0.000    0.066    0.000 /home/sbose/time-series-forecasting-federation/models/LSTM/LSTMAR.py:73(init_h_c_)
     2651    0.012    0.000    0.017    0.000 <frozen importlib._bootstrap>:968(_sanity_check)
     2723    0.012    0.000    0.296    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
3477/3377    0.011    0.000    0.150    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/typing.py:306(inner)
     2638    0.011    0.000    0.377    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/_dynamo/utils.py:557(unwrap_if_wrapper)
     1811    0.011    0.000    0.063    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/package/package_importer.py:694(_patched_getfile)
        4    0.011    0.003    0.124    0.031 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/utils/_config_module.py:73(get_assignments_with_compile_ignored_comments)
     1430    0.011    0.000    0.019    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/storage.py:581(__init__)
      663    0.011    0.000    0.082    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/dataclasses.py:412(_create_fn)
     2115    0.011    0.000    0.049    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/autograd/profiler.py:604(__enter__)
      731    0.010    0.000    0.010    0.000 {method '__exit__' of '_io._IOBase' objects}
